id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp
17947414847833951,14614,TRUE,FALSE,FALSE,74,Anyone else feel like this is a deliberate middle finger to everyday Americans that are struggling to afford eggs?,2025-04-15T22:23:12.000Z
18047993066346753,1175,TRUE,FALSE,FALSE,15,Did the Department of Government Efficiency approve of this?,2025-04-15T22:13:55.000Z
18067577962760067,9300,TRUE,FALSE,FALSE,138,"Are these paid for by us? Like I can’t even afford to buy eggs for myself anymore, but I’m going to be paying for eggs anyway?",2025-04-15T22:05:13.000Z
18175040593322933,2168,FALSE,FALSE,FALSE,28,This is so tone deaf of him,2025-04-15T22:04:43.000Z
18078272977689195,2281,TRUE,FALSE,FALSE,7,Just like the Capitol in the Hunger Games.,2025-04-15T22:11:24.000Z
18029794034377876,6182,TRUE,FALSE,FALSE,9,"I see I'm not the only one that immediately thought ""Let them eat cake.""",2025-04-15T22:06:01.000Z
18014283809708089,1882,TRUE,FALSE,FALSE,6,Is this the American version of let them eat cake?,2025-04-15T22:09:22.000Z
18065900893822016,2242,TRUE,FALSE,TRUE,10,How is this not an Onion article,2025-04-15T22:40:18.000Z
18070609117899753,807,FALSE,TRUE,FALSE,8,The absolute Antoinette of it all.,2025-04-15T22:06:27.000Z
18266864269274216,1715,TRUE,TRUE,FALSE,14,How many could be fed by 30k eggs… and how much will that cost us? And how many of us can’t afford food for our kids but are paying for these fun game eggs? I have no words. I’m so disgusted.,2025-04-15T22:13:30.000Z
"1,81E+16",788,TRUE,FALSE,FALSE,35,"Um, because kids prefer this over candy in plastic eggs.....?",2025-04-15T22:07:18.000Z
18091388080576422,1127,FALSE,TRUE,FALSE,15,"I am all for ditching plastic, but at my grocery store today the price of eggs was between $7 and $10.50 per dozen. Are they literally mocking working Americans right now? People can’t even afford to feed their children this incredible source of protein.",2025-04-15T22:43:33.000Z
17916661895984421,1068,TRUE,TRUE,FALSE,34,Who’s paying for the eggs?,2025-04-15T22:06:21.000Z
18063872837301326,3940,TRUE,FALSE,FALSE,31,I’m glad there’s still decent people who care about the guy from Maryland,2025-04-16T03:02:21.000Z
17961521969907578,10,TRUE,FALSE,FALSE,1,A lot of respect for these people speaking up 👏,2025-04-16T03:27:48.000Z
18060908729092184,2502,FALSE,TRUE,FALSE,16,"Seeing people from Iowa stand up for Kilmar makes me realize there are good people still here. There is hope, we just have to stay strong together and get LOUD.",2025-04-16T03:24:13.000Z
17897861673180592,123,TRUE,FALSE,FALSE,22,Show the Google Earth images of the prison. Frightening.,2025-04-16T03:01:21.000Z
18042418532413801,206,FALSE,FALSE,FALSE,5,Proud moment for my home state ✊🏼,2025-04-16T03:31:40.000Z
18050762969462786,1293,TRUE,FALSE,FALSE,6,"I like the guy in the flag hat, asking questions.  He was having none of the bs.",2025-04-16T03:04:37.000Z
17927742494935360,55,TRUE,TRUE,FALSE,0,WHY is this 91 year old man still a Senator?! 😭,2025-04-16T04:10:16.000Z
18039959969235954,171,TRUE,FALSE,TRUE,16,…who did yall vote for…?,2025-04-16T03:02:02.000Z
18006053291745981,148,FALSE,FALSE,FALSE,1,"If term limits had a poster child, he’d be it.",2025-04-16T03:07:13.000Z
18055415285185018,393,TRUE,TRUE,FALSE,8,91 year old Chuck Grassley..wow! Time to go.,2025-04-16T03:17:03.000Z
18023895401669636,5,TRUE,TRUE,FALSE,0,This is great to see. This case is a litmus test for the Trump administration to see how far they can take deportations.,2025-04-16T05:45:52.000Z
17862647862384889,848,TRUE,TRUE,FALSE,15,He’s 91. You're telling me they didn’t have ONE person who could have run against and beat him last election? NOT ONE??? IN THE WHOLE STATE? 😳,2025-04-16T03:03:32.000Z
18044663417419268,67,TRUE,FALSE,FALSE,1,Vote them all out,2025-04-16T03:01:24.000Z
18047081312096078,293,TRUE,FALSE,FALSE,4,Momentum is building. Be ready America.,2025-04-16T04:13:44.000Z
17868910896357202,69,TRUE,TRUE,FALSE,2,Good! Continue protesting & speaking out.,2025-04-16T03:51:05.000Z
18092912722569828,1,TRUE,FALSE,FALSE,0,👏,2025-04-16T02:38:07.000Z
17863341849383257,31,TRUE,TRUE,FALSE,0,Now this is a proper protest 😂,2025-04-16T01:29:45.000Z
18037657670284927,3,TRUE,FALSE,TRUE,0,,2025-04-16T01:39:40.000Z
18174692707322234,0,TRUE,FALSE,FALSE,0,"So I have to get an 🍊 costume, got it!",2025-04-16T09:31:47.000Z
17901418812170113,5,TRUE,FALSE,FALSE,0,It’s really a big shame considering the health concerns of residents within the dump site. Whatever the delay should be escalated!,2025-04-16T01:38:38.000Z
18084133714574708,1,TRUE,FALSE,FALSE,0,😂😂😂😂,2025-04-16T01:58:10.000Z
17960233355778323,0,TRUE,FALSE,FALSE,0,🙌,2025-04-16T08:29:34.000Z
18065992097497053,0,FALSE,TRUE,FALSE,0,Well it got attention! 🤷‍♀️,2025-04-16T07:26:00.000Z
18049655765522706,2,TRUE,TRUE,FALSE,0,CNN is a joke,2025-04-16T01:44:07.000Z
18074463508874378,7,TRUE,FALSE,FALSE,0,This costume also works with Republican town hall meetings about the happenings in Washington.,2025-04-16T02:10:48.000Z
17906608611136801,5,TRUE,FALSE,FALSE,0,Thought this was New York for a second! They need to Protest that!,2025-04-16T01:55:35.000Z
18061643663018467,1,TRUE,FALSE,FALSE,0,"My heart is broken💔 for my father because he lost his leg in the war. I hope he gets help so he can receive treatment abroad. Unfortunately, we are not okay. Whoever does not feel for us should review their humanity.",2025-04-16T01:36:18.000Z
