authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration
286700,939,FALSE,395,84100,2021-04-26T18:34:31.000Z,5900000,31700000,166900,#stitch with @processor.prod part 1 #albumcover #fypシ #fyp #xyzbca #foryoupage #tiktoksa #tiktoksouthafrica #viral #funny #funnymemes #meme #4u #a#ha,59
4000000,69,FALSE,1162,48800,2022-05-31T12:14:24.000Z,4900000,42000000,319700,And I never ate another bagel  @Jillz #bagels #motherinlaw #creamcheese #breakfast #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,30
4000000,69,FALSE,1162,9886,2022-06-05T15:08:09.000Z,4100000,32800000,25900,Well that’s our Hotel gone up!  @dorian_ds #spinningseesaw #beach #hotel #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,14
4000000,69,FALSE,1162,56200,2022-06-13T16:01:23.000Z,4000000,32500000,94400,I saw my opportunity and I took it!  @Bing.classmate #dessert #pudding #cake #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,43
722400,235,FALSE,1570,34600,2021-07-10T14:54:57.000Z,4000000,15700000,50700,*regrets everything* #cat #cats #cattok #funnymemes #facts,10
101800,5,FALSE,114,38900,2022-06-06T18:06:45.000Z,3700000,25100000,121400,Maling Ikan No Jutsu#ninjacat #opening #naruto #ninja #shinobi #challenge #cats #memestiktok #kanaboonshillhouette #catmeme #funnymoments #cat #catfunny #catfunnyvideos #collab #narutoshippuden #funnymemes #funnycat #kucinglucu #kucingtiktok #anime #fyp #foryou #foryoupage #fypシ,65
4000000,69,FALSE,1162,29800,2022-06-08T12:21:41.000Z,3200000,28600000,252500,What the duck!  @Safiya #petducks #quack #queeftok #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,26
382700,3922,FALSE,284,40000,2021-05-07T18:23:32.000Z,3000000,15300000,83000,Your 1st @ mom is like this  #minecraft #memes #funnymemes #gaming #haventseen #vibes #funny #comida #viral #tiktok #foryou #fyp #fypシ,53
4000000,69,FALSE,1162,14500,2022-06-04T17:28:40.000Z,2800000,25600000,33700,One of them took my hat!  @mouse #siteseeing #birdwatching #chickens #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,22
14100,636,FALSE,123,11700,2022-06-09T20:00:34.000Z,2700000,18500000,25400,Brooo  #funny #hilarious #meme #memes #funnyvideo # #funnymemes #funnyvideos #hilariousmemes #lowqualitymemes #lowquality #fyp #foryou #foryoupage #viral #blowthisup,6
159500,143,FALSE,319,16100,2021-05-13T12:20:05.000Z,2600000,15600000,22200,LMAO  wait until the end..  @stephalubart #funny #funnymemes #memes #meme #funnyvideos #darkhumour #comedy #lol #joke #hilarious #kids #art #shrek,20
1000000,22,FALSE,118,15100,2020-07-18T12:57:04.000Z,2400000,46400000,20700,The sound effects tho  I tried  How would you use them?DUET with me on this one  #foryou #funny #education #foryoupage #funnymemes #funnyscience,15
4000000,69,FALSE,1162,18600,2022-06-18T17:05:24.000Z,2400000,16200000,44600,I will never psychologically recover from this￼  @bammytrothers #auntjokes #chased #hereditary #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,28
533600,0,FALSE,136,5238,2022-02-14T15:27:33.000Z,2300000,23800000,24100,#funnymemes #meme #memes #viral #fyp #funny #funnyvideo #humor #fypp #fypシ #fy #lars_b_meme #joke #trynottolaugh,13
257100,70,FALSE,91,31200,2019-04-23T07:07:20.000Z,2300000,8000000,208300,YOU GIRLS ARE BEAUTIFUL #foryou #funny #meme #comedy #dankmemes #foryoupage #funnymemes #dank,59
7596,195,FALSE,18,6879,2021-08-13T19:52:43.000Z,2200000,15700000,20600,I’m no architect but I think I’m qualified enough to say this is a design flaw  #funny #tiktokcomedy #tiktok #tiktokvideo #tiktokviral #funnymemes,10
308700,818,FALSE,1339,13600,2022-07-06T20:27:46.000Z,2200000,12300000,53000,Funny memes  #fyp #foryoupage #over30s #comedy #funny #funnymemes #PrimarkSummerUp #ITriedItIPrimedIt,56
4000000,69,FALSE,1162,8084,2022-06-11T17:41:55.000Z,2200000,16600000,25400,Little guy used up all his energy on his smile  @Aannn #monkey #kingjulian #smile #banana #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,18
301900,144,FALSE,1235,16000,2022-07-11T18:35:31.000Z,2100000,16100000,46400,#PrimeDayDreamDeals #fyp #fypシ #fypage #fypシ゚viral #fup #fupシ #fupage #foryou #foryoupage #foru #forupage #funny #funnyvideos #funnymoments #funnymemes #meme #memes #memestiktok #dailymemes #foodie #foodtiktok #food #friends #dogs #dogsoftiktok #cat #catsoftiktok #fu #lol #xyzbca #lmao,23
