authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized
696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,0,0,0,0,0,False
3300000,46,False,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,0,0,0,0,0,False
4600000,1016,False,1341,11000,2020-03-07T22:43:56.000Z,5300000,34700000,273800,Follow my insta @drakekiker #AfterMyCoffee #shykids #ChilisBirthday #diyproject #UltraSmoothMoves #joke #jokes #joker #funny #luagh #fy #fyp #foryоu,39,Follow my insta @drakekiker #AfterMyCoffee #shykids #ChilisBirthday #diyproject #UltraSmoothMoves #joke #jokes #joker #funny #luagh #fy #fyp #foryоu,0,0,0,0,0,False
333400,533,False,77,5660,2021-08-19T19:34:15.000Z,5200000,34200000,25600,Wait till the end  #prank #pranks #tattoo #funn #fyp #jokes,30,Wait till the end #prank #pranks #tattoo #funn #fyp #jokes,0,0,0,0,0,False
9700000,140,False,667,25800,2021-02-05T21:52:47.000Z,5100000,28100000,124900,Dommy has a way with words. #jokes #comedy #laugh #hilarious #minnesota #winona #kickasslife #oldjokes,32,Dommy has a way with words. #jokes #comedy #laugh #hilarious #minnesota #winona #kickasslife #oldjokes,0,0,0,0,0,False
1300000,421,False,92,9629,2020-04-17T04:18:11.000Z,5100000,26800000,56400,Sister’s BF gotta go #fyp #4u #foryoupage #stayhomestaystrong #toxic #jokes #tiktok,42,Sister’s BF gotta go #fyp #4u #foryoupage #stayhomestaystrong #toxic #jokes #tiktok,0,0,0,0,0,False
875700,240,False,109,58700,2021-01-11T05:09:45.000Z,5000000,27300000,64700,Don’t ask where I get the inspiration for some of these bc I don’t know hhaha tag them‍♂️ #foryou #drawing #jokes,12,Don’t ask where I get the inspiration for some of these bc I don’t know hhaha tag them‍♂️ #foryou #drawing #jokes,0,0,2,0,0,False
3800000,363,True,174,324700,2019-10-30T21:59:00.000Z,27700000,324500000,2100000,You guys (literally) asked for this  #comedy #fyp #wtbdijw,8,You guys (literally) asked for this #comedy #fyp #wtbdijw,0,0,0,0,0,False
7900000,1436,False,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,0,0,1,0,0,False
55000000,8858,True,1310,94400,2020-02-16T03:40:01.000Z,17600000,226300000,167100,Shaving prank gone wrong  #trend #comedy #prank #fail,16,Shaving prank gone wrong #trend #comedy #prank #fail,0,0,0,0,0,False
6000000,295,False,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,0,0,0,0,0,False
1600000,50,False,31,176500,2021-11-25T00:42:03.000Z,16100000,91600000,443300,#fyp #foryou #comedy #relatable #ratchetehitegirl #school #bus,28,#fyp #foryou #comedy #relatable #ratchetehitegirl #school #bus,0,0,0,0,0,False
18600000,1644,True,1164,21100,2020-01-19T23:09:08.000Z,14500000,126700000,80300,Got my parents so good with this shaving prank  #trend #comedy #prank,10,Got my parents so good with this shaving prank #trend #comedy #prank,0,0,0,1,0,False
26700000,117,True,299,94700,2020-06-01T20:08:25.000Z,13800000,78500000,238900,People VS. Cartoons Ep. 4 #cartoons #comedy #humor #wholesome,58,People VS. Cartoons Ep. 4 #cartoons #comedy #humor #wholesome,0,0,0,0,0,False
3300000,46,False,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,0,0,0,0,0,False
359400,63,False,54,178800,2020-05-23T03:30:48.000Z,13700000,76900000,673200,Netflix vs reality  #neverhaveiever #fyp #inyourface #viral #trend #tiktok #comedy,10,Netflix vs reality #neverhaveiever #fyp #inyourface #viral #trend #tiktok #comedy,0,0,0,0,0,False
21200000,34,True,790,132900,2021-07-21T14:56:20.000Z,13700000,118300000,362600,Android vs Apple  #mercuri_88 #littlebrother #mom #foryou #foryoupage #fyp #fypシ #funny #comedy #humor #xyzbca #apple #4u #fy #pov #trend #viral,10,Android vs Apple #mercuri_88 #littlebrother #mom #foryou #foryoupage #fyp #fypシ #funny #comedy #humor #xyzbca #apple #4u #fy #pov #trend #viral,0,0,1,0,0,False
